
name,password,email,failed_login_attempts,logged_in,role
angéline,1234,angeline@gmail.com,0,False,admin
bob,passwOrd,bob@gmail.com,0,False,user
carla,abc123,carla@mail.com,0,False,user
david,qwerty,david@web.net,1,False,user
emilie,secret123,emilie@chatmail.com,2,False,user
francois,adminpass,francois@admin.org,0,False,admin
gina,hello123,gina@photos.com,0,False,user
hugo,mypass,hugo@domain.fr,3,False,user
ines,testtest,ines@cute.cat,0,False,user
julien,password123,julien@animal.fr,0,False,user
karine,azerty,karine@zoo.com,1,False,admin
leo,meowmeow,leo@cats.com,0,False,user
mia,minou123,mia@minou.fr,0,False,user
nora,bonjour,nora@cats.fr,0,False,user
olivier,chaton2024,olivier@felins.org,0,False,user
paul,panthera,paul@wildcats.org,1,False,user
quincy,whiskers,quincy@catmail.com,0,False,user
rachel,kittycat,rachel@zoo.net,0,False,user
samuel,tigre123,samuel@tigris.com,2,False,admin
tara,pattes,tarra@pets.fr,0,False,user
ursule,puma2024,ursule@jungle.org,0,False,user
victor,lionheart,victor@wild.fr,1,False,user
wendy,furball,wendy@catworld.net,0,False,user
xavier,tigré123,xavier@xmail.com,0,False,user
yasmine,croquette,yasmine@chatmail.fr,0,False,user
zach,minetpass,zach@zoo.fr,0,False,admin
root,rootMDP,root@gmail.com,0,False,admin
utilisateur,utilisateurMDP,utilisateur@gmail.com,0,False,user
